Start of Today Currently fighting a
2023-06-11 02:55:16 Not Fighting an npc
2023-06-11 02:55:34 Not Fighting an npc
2023-06-11 02:56:17 Not Fighting an npc
2023-06-11 02:57:25 Not Fighting an npc
2023-06-11 02:57:41 Not Fighting an npc
2023-06-11 02:57:54 Not Fighting an npc
2023-06-11 02:58:23 Not Fighting an npc
2023-06-11 02:59:23 Not Fighting an npc
2023-06-11 03:00:00 Not Fighting an npc
2023-06-11 03:00:00 Not Fighting an npc
2023-06-11 03:00:24 Not Fighting an npc
2023-06-11 03:05:31 Not Fighting an npc
2023-06-11 03:06:32 Not Fighting an npc
2023-06-11 03:07:32 Not Fighting an npc
2023-06-11 03:08:33 Not Fighting an npc
2023-06-11 03:09:16 Not Fighting an npc
2023-06-11 03:09:52 Not Fighting an npc
2023-06-11 03:21:44 Not Fighting an npc
2023-06-11 03:21:55 Not Fighting an npc
2023-06-11 03:22:25 Not Fighting an npc
2023-06-11 03:22:43 Not Fighting an npc
2023-06-11 03:24:30 Not Fighting an npc
Start of Today Currently fighting a
2023-06-11 03:26:07 Not Fighting an npc
2023-06-11 03:27:07 Not Fighting an npc
2023-06-11 03:28:07 Currently Fighting a Cow
2023-06-11 03:29:07 Currently Fighting a Cow
2023-06-11 03:30:07 Not Fighting an npc
2023-06-11 03:31:07 Not Fighting an npc
2023-06-11 03:32:07 Not Fighting an npc
2023-06-11 03:33:07 Not Fighting an npc
2023-06-11 03:34:07 Not Fighting an npc
2023-06-11 03:35:07 Currently Fighting a Cow
2023-06-11 03:36:07 Currently Fighting a Cow
2023-06-11 03:37:07 Not Fighting an npc
2023-06-11 03:38:07 Not Fighting an npc
2023-06-11 03:38:18 Not Fighting an npc
2023-06-11 03:39:18 Currently Fighting a Cow
2023-06-11 03:40:18 Not Fighting an npc
2023-06-11 03:41:18 Currently Fighting a Cow
2023-06-11 03:42:18 Not Fighting an npc
2023-06-11 03:43:18 Not Fighting an npc
2023-06-11 03:44:19 Not Fighting an npc
2023-06-11 03:45:19 Not Fighting an npc
2023-06-11 03:46:19 Not Fighting an npc
2023-06-11 03:47:32 Not Fighting an npc
2023-06-11 03:48:32 Not Fighting an npc
2023-06-11 03:49:40 Not Fighting an npc
2023-06-11 03:50:40 Currently Fighting a Cow
2023-06-11 03:51:40 Currently Fighting a Cow
2023-06-11 03:52:40 Not Fighting an npc
2023-06-11 03:53:40 Not Fighting an npc
2023-06-11 03:54:40 Currently Fighting a Cow
2023-06-11 03:59:08 Not Fighting an npc
2023-06-11 04:00:09 Not Fighting an npc
2023-06-11 04:00:20 Not Fighting an npc
2023-06-11 04:01:03 Not Fighting an npc
2023-06-11 04:02:03 Currently Fighting a Cow
2023-06-11 04:03:03 Not Fighting an npc
2023-06-11 04:04:04 Not Fighting an npc
2023-06-11 04:13:08 Not Fighting an npc
2023-06-11 04:14:08 Currently Fighting a Cow
2023-06-11 04:15:08 Currently Fighting a Cow
2023-06-11 04:16:08 Not Fighting an npc
2023-06-11 04:17:08 Not Fighting an npc
2023-06-11 04:18:08 Not Fighting an npc
2023-06-11 04:19:08 Not Fighting an npc
2023-06-11 04:20:08 Not Fighting an npc
2023-06-11 04:21:08 Not Fighting an npc
2023-06-11 04:22:08 Not Fighting an npc
2023-06-11 04:23:08 Not Fighting an npc
2023-06-11 04:24:11 Not Fighting an npc
2023-06-11 04:25:11 Not Fighting an npc
2023-06-11 10:44:13 Not Fighting an npc
2023-06-11 04:15:08 Currently Fighting a Cow
2023-06-11 10:44:32 Not Fighting an npc
2023-06-11 10:45:32 Currently Fighting a Cow
2023-06-11 10:46:32 Not Fighting an npc
2023-06-11 10:47:32 Not Fighting an npc
2023-06-11 10:48:32 Currently Fighting a Cow
2023-06-11 10:49:32 Not Fighting an npc
2023-06-11 10:50:32 Not Fighting an npc
2023-06-11 10:51:32 Not Fighting an npc
2023-06-11 10:52:32 Not Fighting an npc
2023-06-11 10:53:32 Not Fighting an npc
2023-06-11 10:54:32 Not Fighting an npc
2023-06-11 10:55:32 Not Fighting an npc
2023-06-11 10:56:32 Not Fighting an npc
2023-06-11 10:57:32 Currently Fighting a Cow calf
2023-06-11 10:58:32 Not Fighting an npc
2023-06-11 10:59:32 Currently Fighting a Cow
2023-06-11 11:00:32 Currently Fighting a Cow
2023-06-11 11:01:32 Currently Fighting a Cow
2023-06-11 11:02:32 Not Fighting an npc
2023-06-11 11:03:32 Not Fighting an npc
2023-06-11 11:04:32 Not Fighting an npc
2023-06-11 11:05:32 Not Fighting an npc
2023-06-11 11:06:32 Not Fighting an npc
2023-06-11 11:07:32 Not Fighting an npc
2023-06-11 11:08:32 Not Fighting an npc
2023-06-11 11:09:32 Currently Fighting a Cow
2023-06-11 11:10:32 Not Fighting an npc
2023-06-11 11:11:32 Not Fighting an npc
2023-06-11 11:12:32 Not Fighting an npc
2023-06-11 11:13:32 Not Fighting an npc
2023-06-11 11:14:32 Not Fighting an npc
2023-06-11 11:15:32 Not Fighting an npc
2023-06-11 11:16:32 Not Fighting an npc
2023-06-11 11:17:32 Not Fighting an npc
2023-06-11 11:18:32 Currently Fighting a Cow
2023-06-11 11:19:32 Not Fighting an npc
2023-06-11 11:20:32 Not Fighting an npc
2023-06-11 11:21:32 Currently Fighting a Cow
2023-06-11 11:22:32 Not Fighting an npc
2023-06-11 11:23:32 Currently Fighting a Cow
2023-06-11 11:24:32 Currently Fighting a Cow
2023-06-11 11:25:32 Not Fighting an npc
2023-06-11 11:26:32 Not Fighting an npc
2023-06-11 11:27:32 Not Fighting an npc
2023-06-11 11:28:32 Not Fighting an npc
2023-06-11 11:29:32 Not Fighting an npc
2023-06-11 11:30:32 Not Fighting an npc
2023-06-11 11:31:32 Not Fighting an npc
2023-06-11 11:32:32 Not Fighting an npc
2023-06-11 11:33:32 Not Fighting an npc
2023-06-11 11:34:32 Not Fighting an npc
2023-06-11 11:35:53 Not Fighting an npc
2023-06-11 11:24:32 Currently Fighting a Cow
2023-06-11 11:36:19 Not Fighting an npc
2023-06-11 11:37:19 Not Fighting an npc
2023-06-11 11:38:19 Not Fighting an npc
2023-06-11 11:39:19 Currently Fighting a Cow
2023-06-11 11:40:19 Not Fighting an npc
2023-06-11 11:41:19 Not Fighting an npc
2023-06-11 11:42:19 Not Fighting an npc
2023-06-11 11:43:19 Currently Fighting a Cow
2023-06-11 11:44:19 Not Fighting an npc
2023-06-11 11:45:19 Not Fighting an npc
2023-06-11 11:46:19 Not Fighting an npc
2023-06-11 11:47:19 Not Fighting an npc
2023-06-11 11:48:19 Not Fighting an npc
2023-06-11 11:49:19 Not Fighting an npc
2023-06-11 11:50:19 Not Fighting an npc
